document_id,source,raw_text,received_date
DOC-001,email,"Subject: URGENT: Production System Down\nFrom: ops-team@techcorp.com\nTo: engineering@techcorp.com\n\nOur main API is returning 500 errors. Customer complaints are flooding in. Database connection pool appears exhausted. Need immediate assistance.\n\nError log: Connection timeout after 30s\nAffected endpoints: /api/v1/users, /api/v1/orders\nStarted: 2025-02-28 14:23 UTC",2025-02-28
DOC-002,support_ticket,"Ticket #45782\nCustomer: GlobalMart Inc (Enterprise)\nPriority: High\nSubject: Invoice discrepancy\n\nWe were charged $15,000 but our contract states $12,000/month. This is the third billing error in 6 months. Our CFO is demanding resolution by end of week or we're canceling. Account value: $144,000/year.",2025-02-27
DOC-003,email,"Subject: Feature Request - Export to Excel\nFrom: sarah.johnson@manufacturing.com\n\nHi Product Team,\n\nWould it be possible to add Excel export? Our executives prefer Excel over CSV. Not urgent but would be nice to have.\n\nThanks,\nSarah",2025-02-26
DOC-004,chat,"[14:23] John: Hey, the new dashboard looks great!\n[14:24] Mary: Thanks! Took 2 weeks but happy with the result\n[14:24] John: Any plans to add dark mode?\n[14:25] Mary: Yeah it's on our Q2 roadmap\n[14:26] John: Perfect, users have been asking for it",2025-02-28
DOC-005,email,"Subject: LEGAL NOTICE - Trademark Infringement\nFrom: legal@brandprotect.com\nTo: legal@techcorp.com\n\nYour company is using our trademarked name 'QuickSync' without authorization. Cease and desist immediately or face legal action. You have 10 business days to comply.\n\nSincerely,\nBrandProtect Legal Team",2025-02-28
DOC-006,support_ticket,"Ticket #45801\nCustomer: Small Business Co\nPriority: Low\nSubject: Question about pricing\n\nDoes your Pro plan include API access? Can't find this info on your website. Just curious for future planning.",2025-02-28
DOC-007,email,"Subject: Security Vulnerability Report\nFrom: security-researcher@whitehat.com\nTo: security@techcorp.com\n\nFound SQL injection vulnerability in your login form. Severity: Critical. Affects all users. Can extract password hashes. Full details attached. Please patch ASAP and credit me in your security hall of fame.\n\nTimeline for public disclosure: 90 days",2025-02-27
DOC-008,social_media,"@TechCorp your app keeps crashing on iOS 17! Lost all my data twice. This is unacceptable for a paid app. Refund requested. #disappointed #buggyapp",2025-02-28
DOC-009,email,"Subject: Partnership Opportunity\nFrom: bd@bigcorp.com\nTo: partnerships@techcorp.com\n\nBigCorp is interested in white-labeling your platform for our 50,000 enterprise customers. Potential deal: $5M annually. Can we schedule a call next week to discuss?\n\nBest regards,\nJennifer Chen, VP Business Development",2025-02-25
DOC-010,support_ticket,"Ticket #45823\nCustomer: Startup Labs\nPriority: Medium\nSubject: Integration question\n\nHow do we integrate with Salesforce? Docs mention it but no step-by-step guide. We're launching next month and need this working. Any ETA on better docs?",2025-02-28
DOC-011,internal_note,"Meeting notes - Q1 Planning\nAttendees: CEO, CTO, VP Product\nDate: 2025-02-20\n\nDecisions:\n- Hire 5 more engineers by Q2\n- Launch AI features by March 31\n- Increase marketing budget 30%\n- Focus on enterprise segment\n\nAction items:\n- CTO: Post job listings by Feb 28\n- VP Product: Finalize AI roadmap by March 1",2025-02-20
DOC-012,email,"Subject: Thank you!\nFrom: happy-customer@startup.com\nTo: support@techcorp.com\n\nJust wanted to say your support team is amazing. You guys resolved my issue in under 2 hours. Rare to find such great customer service these days. Keep it up!",2025-02-27
DOC-013,support_ticket,"Ticket #45856\nCustomer: MegaCorp International\nPriority: Critical\nSubject: Data breach concern\n\nWe noticed unusual API activity from IP 45.142.223.18. Thousands of requests in 10 minutes. Possible unauthorized data access. Need immediate investigation and incident report for our compliance team.\n\nAccount: Enterprise Plus ($500k/year)",2025-02-28
DOC-014,email,"Subject: Reminder: Contract renewal due\nFrom: account-manager@techcorp.com\nTo: admin@mediumco.com\n\nYour annual contract expires March 15, 2025. Would you like to renew? We have a 15% discount for early renewal. Let me know if you have questions.\n\nBest,\nRobert",2025-02-28
DOC-015,social_media,"Wow! Just upgraded to @TechCorp Pro and the new AI features are mind-blowing. Saving me 3 hours per day. Worth every penny. Highly recommended! #productivity #ai",2025-02-27
