document_id,source,text
1,customer_email,"Hi, this is Sarah Johnson from Acme Corporation. I'm writing to inquire about the order I placed on December 15th, 2024. My customer ID is CUST-98765. Please contact me at sarah.johnson@acmecorp.com or call 555-123-4567. Our office is located at 123 Main Street, San Francisco, CA 94102."
2,support_ticket,"Issue reported by Michael Chen (employee ID: EMP-12345) on 2024-01-15 at 10:30 AM PST. The application crashed while processing invoice INV-2024-0089 for client Microsoft Corporation. Error occurred in the PaymentProcessor module. Contact dev team lead Jennifer Williams at ext. 4521."
3,sales_note,"Met with Robert Smith, CEO of TechStart Industries, at their headquarters in Austin, Texas on February 1st, 2024. They're interested in purchasing 50 licenses of our Enterprise Suite for $125,000. Follow up with procurement director Linda Martinez (lmartinez@techstart.com) by next Friday. Decision makers also include CTO David Park."
4,contract,"This Software License Agreement is entered into on January 20, 2025, between Global Systems Inc. (Licensor) with offices at 456 Oak Avenue, New York, NY 10001, and DataFlow Technologies Ltd. (Licensee) located at 789 Pine Road, London, UK. Total contract value: £250,000 GBP. Primary contacts: James Wilson (Licensor) and Emily Brown (Licensee)."
5,incident_report,"Security incident detected on 2025-02-15 at 02:45 UTC. Unauthorized access attempt from IP address 192.168.1.100 targeting production database DB-PROD-01. Alert triggered by monitoring system and escalated to security team lead Alex Thompson. Incident ticket: SEC-2025-0234. AWS region: us-east-1. Affected resources: RDS instance i-0abc123def456."
6,meeting_notes,"Team meeting held on Monday, February 10th, 2025 at Conference Room B, Building 3. Attendees: Maria Garcia (PM), Kevin Lee (Dev Lead), Patricia Anderson (QA), and Thomas White (Designer). Discussed Q1 2025 roadmap. Action items: Maria to schedule follow-up with VP of Engineering Dr. Susan Miller by Feb 20th."
7,press_release,"SAN JOSE, CA - February 25, 2025 - InnovateTech Solutions announced today a strategic partnership with Amazon Web Services to deliver cloud-based AI solutions. CEO Richard Davis stated the collaboration will launch in Q2 2025. The deal, valued at $5 million, was negotiated by CFO Amanda Rodriguez and will create 150 new jobs in Silicon Valley."
8,customer_feedback,"Product review by Jessica Martinez posted on January 28, 2025: 'I purchased the UltraBook Pro X1 laptop from Best Buy in Seattle for $1,899.99. The Intel Core i9 processor and 32GB RAM are fantastic! Shipping took 3 days via FedEx. Customer service rep Tom Johnson was very helpful. Rating: 5/5 stars.'"
9,legal_notice,"NOTICE OF TRADEMARK APPLICATION - Filed with the United States Patent and Trademark Office (USPTO) on February 5, 2025. Application No: 88/123456. Mark: CLOUDVISION. Applicant: Digital Innovations Corp., 321 Tech Boulevard, Palo Alto, CA 94301. Attorney: Law Offices of Christopher Taylor, Esq. Filing basis: Intent to Use (Section 1(b))."
10,hr_memo,"TO: All Engineering Staff. FROM: HR Director Rebecca Johnson. DATE: February 18, 2025. RE: New Hire Orientation. Please welcome our new Software Engineers: Anna Lee (starting March 1st), Carlos Rodriguez (starting March 1st), and Priya Patel (starting March 8th). Orientation will be held at Building 5, Room 201. Questions: contact hr@company.com or ext. 3000."
