order_id,customer_id,product_name,product_category,quantity,unit_price,cost,order_date
1001,CUST001,Wireless Mouse,Electronics,2,25.99,15.00,2024-01-15
1002,CUST002,Bluetooth Speaker,electronics,1,89.99,45.00,2024-01-16
1003,CUST003,Office Chair,Furniture,1,245.00,120.00,2024-01-18
1004,CUST001,USB Cable,Electronics,3,12.99,6.50,2024-01-20
1005,CUST004,Standing Desk,furniture,1,399.99,200.00,2024-01-22
1006,CUST005,Coffee Mug,Home,2,18.50,8.00,2024-01-25
1007,CUST002,Laptop Stand,Electronics,1,55.99,28.00,2024-01-27
1008,CUST006,Ergonomic Keyboard,electronics,1,129.99,65.00,2024-01-30
1009,CUST007,Desk Lamp,home,1,42.99,22.00,2024-02-02
1010,CUST003,Monitor,Electronics,1,299.99,150.00,2024-02-05
1011,CUST008,Bookshelf,Furniture,1,189.99,95.00,2024-02-08
1012,CUST009,Water Bottle,Home,3,24.99,12.00,2024-02-10
1013,CUST001,Webcam,electronics,1,79.99,40.00,2024-02-12
1014,CUST010,Printer Paper,Office,5,19.99,10.00,2024-02-15
1015,CUST004,File Cabinet,furniture,1,149.99,75.00,2024-02-18
1016,CUST011,Pen Set,office,2,29.99,15.00,2024-02-20
1017,CUST005,Headphones,Electronics,1,159.99,80.00,2024-02-22
1018,CUST012,Whiteboard,Office,1,89.99,45.00,2024-02-25
1019,CUST006,Plant Pot,home,4,16.99,8.50,2024-02-28
1020,CUST013,Tablet Stand,Electronics,1,35.99,18.00,2024-03-05
1021,CUST007,Cushion,Home,2,39.99,20.00,2024-03-12
1022,CUST014,Cable Organizer,electronics,3,22.99,11.50,2024-03-18
1023,CUST008,Desk Organizer,Office,1,49.99,25.00,2024-03-25
1024,CUST015,Throw Blanket,home,1,65.99,33.00,2024-04-02
1025,CUST009,Power Bank,Electronics,2,45.99,23.00,2024-04-08
1026,CUST016,Stapler,office,1,24.99,12.50,2024-04-15
1027,CUST010,Reading Light,Home,1,32.99,16.50,2024-04-20
1028,CUST017,External Hard Drive,electronics,1,119.99,60.00,2024-04-25
1029,CUST011,Notebook,Office,5,12.99,6.50,2024-05-02
1030,CUST018,Table Runner,home,1,28.99,14.50,2024-05-08
1031,CUST012,Wireless Charger,Electronics,1,49.99,25.00,2024-05-15
1032,CUST019,Highlighter Set,office,2,19.99,10.00,2024-05-22
1033,CUST013,Picture Frame,Home,3,22.99,11.50,2024-05-28
1034,CUST020,USB Hub,electronics,1,39.99,20.00,2024-06-05
1035,CUST001,Footrest,Furniture,1,79.99,40.00,2024-06-12
1036,CUST002,Storage Box,home,2,34.99,17.50,2024-06-18
1037,CUST021,Gaming Mouse,Electronics,1,69.99,35.00,2024-06-22
1038,CUST003,Binder,Office,4,15.99,8.00,2024-06-25
1039,CUST022,Candle Set,Home,1,45.99,23.00,2024-06-28
1040,CUST004,Monitor Arm,electronics,1,89.99,45.00,2024-07-02
1041,CUST023,Folder Set,office,3,21.99,11.00,2024-07-05
1042,CUST005,Coaster Set,home,2,18.99,9.50,2024-07-08
1043,CUST024,Mechanical Keyboard,Electronics,1,149.99,75.00,2024-07-10
1044,CUST006,Calendar,Office,1,16.99,8.50,2024-07-12
1045,CUST025,Wall Art,Home,1,85.99,43.00,2024-07-15
1046,CUST007,Smartphone Stand,electronics,2,29.99,15.00,2024-07-18
1047,CUST026,Paper Clips,office,5,8.99,4.50,2024-07-20
1048,CUST008,Mirror,home,1,59.99,30.00,2024-07-22
1049,CUST027,Bluetooth Adapter,Electronics,1,25.99,13.00,2024-07-25
1050,CUST009,Label Maker,Office,1,79.99,40.00,2024-07-28
1051,CUST028,Vase,Home,1,42.99,21.50,2024-07-30
1052,CUST010,Screen Cleaner,electronics,3,14.99,7.50,2024-08-02
1053,CUST029,Clipboard,office,2,19.99,10.00,2024-08-05
1054,CUST011,Alarm Clock,home,1,35.99,18.00,2024-08-08
1055,CUST030,Cable Management,Electronics,1,32.99,16.50,2024-08-10
1056,CUST012,Scissors,Office,1,24.99,12.50,2024-08-12
1057,CUST031,Doormat,Home,1,29.99,15.00,2024-08-15
1058,CUST013,Phone Case,electronics,2,19.99,10.00,2024-08-18
1059,CUST032,Tape Dispenser,office,1,22.99,11.50,2024-08-20
1060,CUST014,Towel Set,home,1,48.99,24.50,2024-08-22
1061,CUST033,Cooling Pad,Electronics,1,45.99,23.00,2024-08-25
1062,CUST015,Ruler Set,Office,3,12.99,6.50,2024-08-28
1063,CUST034,Shower Curtain,Home,1,32.99,16.50,2024-08-30
1064,CUST016,Flash Drive,electronics,2,22.99,11.50,2024-09-05
1065,CUST035,Hole Punch,office,1,29.99,15.00,2024-09-12
1066,CUST017,Bath Mat,home,1,25.99,13.00,2024-09-18
1067,CUST036,Camera Lens,Electronics,1,199.99,100.00,2024-09-25
1068,CUST018,Envelope Set,Office,5,9.99,5.00,2024-10-02
1069,CUST037,Pillow,Home,2,39.99,20.00,2024-10-08
1070,CUST019,Tablet,electronics,1,329.99,165.00,2024-10-15
1071,CUST038,Marker Set,office,1,18.99,9.50,2024-10-20
1072,CUST020,Curtains,home,1,69.99,35.00,2024-10-25
1073,CUST039,Smartwatch,Electronics,1,249.99,125.00,2024-10-28
1074,CUST021,Calculator,Office,1,35.99,18.00,2024-11-02
1075,CUST040,Rug,Home,1,125.99,63.00,2024-11-05
1076,CUST001,Graphics Card,electronics,1,599.99,300.00,2024-11-08
1077,CUST041,Index Cards,office,3,14.99,7.50,2024-11-10
1078,CUST002,Lamp Shade,home,1,45.99,23.00,2024-11-12
1079,CUST042,Wireless Earbuds,Electronics,1,129.99,65.00,2024-11-15
1080,CUST003,Paper Shredder,Office,1,89.99,45.00,2024-11-18
1081,CUST043,Wall Clock,Home,1,52.99,26.50,2024-11-20
1082,CUST004,Action Camera,electronics,1,189.99,95.00,2024-11-22
1083,CUST044,Document Tray,office,2,26.99,13.50,2024-11-25
1084,CUST005,Tablecloth,home,1,35.99,18.00,2024-11-28
1085,CUST045,Drone,Electronics,1,449.99,225.00,2024-11-30
1086,CUST006,Desk Pad,Office,1,39.99,20.00,2024-12-02
1087,CUST046,Soap Dispenser,Home,2,19.99,10.00,2024-12-05
1088,CUST007,Projector,electronics,1,399.99,200.00,2024-12-08
1089,CUST047,Eraser Set,office,4,8.99,4.50,2024-12-10
1090,CUST008,Humidifier,home,1,89.99,45.00,2024-12-12
1091,CUST048,Virtual Reality Headset,Electronics,1,299.99,150.00,2024-12-15
1092,CUST009,Bulletin Board,Office,1,42.99,21.50,2024-12-18
1093,CUST049,Air Freshener,Home,3,12.99,6.50,2024-12-20
1094,CUST010,Smart Speaker,electronics,1,99.99,50.00,2024-12-22
1095,CUST050,Pencil Holder,office,2,16.99,8.50,2024-12-25
1096,CUST011,Laundry Basket,home,1,32.99,16.50,2024-12-28
1097,CUST001,Fitness Tracker,Electronics,1,179.99,90.00,2024-01-05
1098,CUST051,Letter Opener,Office,1,14.99,7.50,2024-01-08
1099,CUST012,Tissue Box,Home,4,9.99,5.00,2024-01-10
1100,CUST052,Security Camera,electronics,2,159.99,80.00,2024-01-12
1101,CUST013,Push Pins,office,5,6.99,3.50,2024-01-15
1102,CUST053,Trash Can,home,1,25.99,13.00,2024-01-18
1103,CUST014,Robot Vacuum,Electronics,1,299.99,150.00,2024-01-20
1104,CUST054,Rubber Stamps,Office,3,22.99,11.50,2024-01-22
1105,CUST015,Placemats,Home,4,18.99,9.50,2024-01-25
1106,CUST055,Smart Thermostat,electronics,1,229.99,115.00,2024-01-28
1107,CUST016,Correction Fluid,office,2,8.99,4.50,2024-01-30
1108,CUST056,Bed Sheets,home,1,75.99,38.00,2024-02-02
1109,CUST017,Electric Toothbrush,Electronics,1,89.99,45.00,2024-02-05
1110,CUST057,Paper Organizer,Office,1,35.99,18.00,2024-02-08
1111,CUST018,Decorative Bowl,Home,2,28.99,14.50,2024-02-10
1112,CUST058,Wireless Router,electronics,1,179.99,90.00,2024-02-12
1113,CUST019,Sticky Notes,office,6,7.99,4.00,2024-02-15
1114,CUST059,Kitchen Timer,home,1,22.99,11.50,2024-02-18
1115,CUST020,Smart Doorbell,Electronics,1,199.99,100.00,2024-02-20
1116,CUST060,Desk Calendar,Office,1,18.99,9.50,2024-02-22
1117,CUST021,Dish Towels,Home,3,16.99,8.50,2024-02-25
1118,CUST061,Portable SSD,electronics,1,149.99,75.00,2024-02-28
1119,CUST022,Magnifying Glass,office,1,25.99,13.00,2024-03-05
1120,CUST062,Cutting Board,home,1,45.99,23.00,2024-03-12
1121,CUST023,Wireless Adapter,Electronics,2,39.99,20.00,2024-03-18
1122,CUST063,Filing Folders,Office,5,12.99,6.50,2024-03-25
1123,CUST024,Cookbook Stand,Home,1,29.99,15.00,2024-04-02
1124,CUST064,Digital Camera,electronics,1,549.99,275.00,2024-04-08
1125,CUST025,Drawer Organizer,office,2,22.99,11.50,2024-04-15
1126,CUST065,Spice Rack,home,1,39.99,20.00,2024-04-22
1127,CUST026,Bluetooth Mouse,Electronics,1,59.99,30.00,2024-04-28
1128,CUST066,Paper Weight,Office,1,18.99,9.50,2024-05-05
1129,CUST027,Napkin Holder,Home,1,22.99,11.50,2024-05-12
1130,CUST067,Smart Watch Band,electronics,2,29.99,15.00,2024-05-18
1131,CUST028,Rubber Bands,office,4,5.99,3.00,2024-05-25
1132,CUST068,Wall Shelf,home,1,55.99,28.00,2024-06-02
1133,CUST029,Portable Charger,Electronics,1,35.99,18.00,2024-06-08
1134,CUST069,Date Stamp,Office,1,32.99,16.50,2024-06-15
1135,CUST030,Storage Basket,Home,2,26.99,13.50,2024-06-20
1136,CUST070,Smart Light Bulb,electronics,3,24.99,12.50,2024-06-25
1137,CUST031,Business Cards,office,2,19.99,10.00,2024-06-28
1138,CUST071,Serving Tray,home,1,42.99,21.50,2024-07-02
1139,CUST032,Laptop Bag,Electronics,1,79.99,40.00,2024-07-05
1140,CUST072,Laminator,Office,1,69.99,35.00,2024-07-08
1141,CUST033,Wine Glasses,Home,4,18.99,9.50,2024-07-10
1142,CUST073,Wireless Presenter,electronics,1,49.99,25.00,2024-07-12
1143,CUST034,Desktop Organizer,office,1,45.99,23.00,2024-07-15
1144,CUST074,Floor Lamp,home,1,89.99,45.00,2024-07-18
